lob,vintage,model_score,gross_loss,recovery,ltv,apr,ragu_score,amt_financed_x,month_run
FRN,2026 Q1,142.76907461715405,1.6031860786626844,6.521217369560563,7.545535007524919,-0.38943538945621137,158.04957768344596,157695812.95,2026 M07
FRN,2026 Q2,143.08781586923047,1.73907655507001,6.396183520884935,7.504214345003778,-0.33481510605200604,158.39247518413717,172258760.98000002,2026 M07
FRN,2026 Q3,143.69803116438314,1.8023679722580908,6.112337886988898,7.524633944835833,-0.4376681765077666,158.6997027919582,15170108.53,2026 M07
STG,2024 Q1,136.65538364985866,0.792440104860202,9.334302043968664,6.877630634479487,-0.2846034468633746,153.37515298630365,67649576.62,2026 M07
STG,2024 Q2,137.42339571606604,1.587002113076215,9.331770806481051,7.531088508914976,0.13870059068137958,156.01195773521965,93567063.34,2026 M07
STG,2024 Q3,138.50092525645837,1.7079348638541931,8.972148336427205,8.14786198043451,0.15316961061430157,157.4820400477886,67936733.22,2026 M07
STG,2024 Q4,137.12881796354114,1.6151530116454822,9.889515126658658,8.055533469343347,0.03917394140070196,156.7281935125893,69968553.86,2026 M07
STG,2025 Q1,136.59243945562048,1.478746502185794,10.083614864588462,7.6822691935589305,-0.0006274965327762727,155.8364425194209,108717851.6,2026 M07
STG,2025 Q2,137.8493273245253,1.6141150051945607,9.596067769834297,8.635382921067691,0.3108011567328603,158.00569417735468,115197023.41,2026 M07
STG,2025 Q3,138.47866109598874,1.7006493531091929,9.325132896550272,8.538340534908874,0.25237078234014776,158.29515466289723,89260079.86000001,2026 M07
STG,2025 Q4,139.91297744175927,1.9651229479689003,8.858024377178127,8.817932484033692,0.4624421139876075,160.0164993649276,70709187.35,2026 M07
STG,2026 Q1,140.9780594250929,2.036184489416169,8.210187109616141,7.765814493118804,0.7180139405927972,159.7082594578368,103634713.51,2026 M07
STG,2026 Q2,141.1523514488945,2.138783577500771,8.24752524363687,8.000303650744687,0.9337085559552626,160.47267247673207,118346593.3,2026 M07
STG,2026 Q3,141.36927958036787,2.030976194485549,8.055718246157374,7.5406902370062845,1.0552732101765327,160.05193746819361,12446894.56,2026 M07
