Dealer Number,Corporate Dealer Group,DLA Loss Scalar,Dealer Level,Loss Ratio
23766,Penske,1.0,C,1.02118177788871
23767,Penske,1.0,C,1.02118177788871
23768,Penske,1.0,C,1.02118177788871
23769,Penske,1.35,E,1.81025826333094
23770,Penske,1.35,E,1.81025826333094
23771,Penske,1.35,E,1.0
23772,Penske,1.0,C,1.02118177788871
23773,Penske,1.0,C,1.02118177788871
23774,Penske,1.0,C,1.02118177788871
23776,Penske,1.0,C,1.02118177788871
23777,Penske,1.0,C,1.02118177788871
23815,Penske,1.35,E,1.25700488005534
23816,Penske,1.0,C,1.02118177788871
23817,Penske,1.0,C,1.02118177788871
23818,Penske,1.0,C,1.02118177788871
23819,Penske,1.35,E,1.25700488005534
23820,Penske,1.0,C,1.02118177788871
23821,Penske,1.0,C,1.02118177788871
23822,Penske,1.0,C,1.02118177788871
23823,Penske,1.35,E,1.25700488005534
23824,Penske,1.0,C,1.02118177788871
23825,Penske,1.0,C,1.02118177788871
23826,Penske,1.0,C,1.02118177788871
23827,Penske,1.0,C,1.02118177788871
23828,Penske,1.35,E,1.0
23829,Penske,1.0,C,1.02118177788871
23830,Penske,1.0,C,1.02118177788871
23831,Penske,1.0,C,1.02118177788871
23832,Penske,1.0,C,1.02118177788871
23833,Penske,1.0,C,1.02118177788871
23834,Penske,1.0,C,1.02118177788871
23835,Penske,1.0,C,1.02118177788871
24323,Penske,1.0,C,1.02118177788871
24562,Penske,1.0,C,1.02118177788871
24563,Penske,1.0,C,1.02118177788871
24564,Penske,1.0,C,1.02118177788871
25203,Penske,1.0,C,1.02118177788871
26075,Penske,1.0,C,1.02118177788871
26204,Penske,0.7,A,0.573815250860433
26205,Penske,0.85,B,0.746843300564869
26206,Penske,0.85,B,0.0
26207,Penske,0.85,B,0.519536347684047
26208,Penske,1.0,C,0.95259058859384
26291,Penske,1.0,C,1.02118177788871
26346,Penske,1.0,C,1.02118177788871
26639,Penske,1.0,C,1.02118177788871
27148,Penske,1.0,C,1.02118177788871
27483,Penske,0.85,B,0.802666504617552
27484,Penske,1.0,C,1.02118177788871
28713,Penske,0.85,B,1.01231184377703
29786,Penske,1.0,C,0.85720598860748
29955,Penske,1.0,C,1.02118177788871
30198,Penske,0.85,B,0.85720598860748
30281,Penske,1.0,C,1.02118177788871
30639,Penske,0.85,B,0.85720598860748
30944,Penske,1.0,C,1.02118177788871
30945,Penske,1.0,C,1.02118177788871
31088,Penske,1.0,C,1.02118177788871
31089,Penske,1.0,C,1.02118177788871
31287,Penske,1.35,E,1.0
31288,Penske,1.35,E,1.0
31316,Penske,1.0,C,1.02118177788871
31742,Penske,1.0,C,1.0
32893,Penske,1.0,C,1.02118177788871
32894,Penske,1.0,C,1.02118177788871
33386,Penske,0.85,B,1.0
33432,Penske,1.0,C,1.02118177788871
39055,Penske,1.0,C,1.02118177788871
39273,Penske,1.0,C,1.02118177788871
45038,Penske,1.35,E,1.80355117027375
53024,Penske,1.0,C,1.02118177788871
341,Sonic Automotive,1.0,C,0.95721818213391
408,Sonic Automotive,1.0,C,0.95721818213391
415,Sonic Automotive,0.7,A,0.585731928980827
416,Sonic Automotive,1.0,C,0.95721818213391
436,Sonic Automotive,1.0,C,0.95721818213391
