,FRN | 2023 Q3,AN | 2023 Q3,STG | 2023 Q3,FLD | 2023 Q3,FRN | 2023 Q4,AN | 2023 Q4,STG | 2023 Q4,FLD | 2023 Q4,FRN | 2024 Q1,AN | 2024 Q1,STG | 2024 Q1,FLD | 2024 Q1,FRN | 2024 Q2,AN | 2024 Q2,STG | 2024 Q2,FLD | 2024 Q2,FRN | 2024 Q3,AN | 2024 Q3,STG | 2024 Q3,FLD | 2024 Q3,FRN | 2024 Q4,AN | 2024 Q4,STG | 2024 Q4,FLD | 2024 Q4,FRN | 2025 Q1,AN | 2025 Q1,STG | 2025 Q1,FLD | 2025 Q1,FRN | 2025 Q2,AN | 2025 Q2,STG | 2025 Q2,FLD | 2025 Q2,FRN | 2025 Q3,AN | 2025 Q3,STG | 2025 Q3,FLD | 2025 Q3,FRN | 2025 Q4,AN | 2025 Q4,STG | 2025 Q4,FLD | 2025 Q4,FRN | 2026 Q1,AN | 2026 Q1,STG | 2026 Q1,FLD | 2026 Q1
10_student_loans,0.9899293307708689,0.9846666521334368,0.9888472627714285,0.9814353810318663,0.9907840765817801,0.9836910699619772,0.9852327709579991,0.9830715057777779,0.9922167224803952,0.9837818316410863,0.9843243331064434,0.9876901662434653,0.9872308023103593,0.9772595557055749,0.9806328501030203,0.9893000452395392,0.9830494649503494,0.9751132089270387,0.975291667816092,0.9851939396030247,0.9586406803193335,0.9538502487562188,0.9545116932907348,0.9592226762002041,0.9521905994868204,0.9520199928850942,0.9524795926598103,0.9588649725959142,0.9502351050366995,0.9475421014228382,0.944302949006758,0.9516252509244584,0.9464125587222048,0.9409775447793796,0.9432638405990905,0.9510051063829787,0.9356987721123826,0.9354776949541284,0.9296464186369957,0.9491533580116339,0.9348253968253969,0.9289805653710247,0.919692291880781,0.9527575221238938
11_low_pti,0.9824632297487222,0.9776980729247479,0.98296258995,0.9775871144613049,0.9843917756510897,0.9785236926425855,0.9809174857067483,0.9804395937777778,0.9861665686363638,0.9768918693860685,0.9794172128311099,0.9816612819342792,0.9799435652566911,0.9690284153767422,0.9748101873849215,0.9814077572164949,0.9752120519988965,0.967781734929491,0.9693373766379312,0.977360440746692,0.9513568031933356,0.9460793532338306,0.9488921277955272,0.9523294177732379,0.9444452041054349,0.9446164496620418,0.9462310385158297,0.9528128350772295,0.9437993305492279,0.9392608208682961,0.9391230554986686,0.9439707025884838,0.9405202317569683,0.9342776889471384,0.9376465311580635,0.9440335531914892,0.9303976191467221,0.9294708142201834,0.9239257649513212,0.9427282813326282,0.9289837301587301,0.9237136042402827,0.9135069886947585,0.9472348672566371
12_chime,0.9824632297487222,0.9776980729247479,0.98296258995,0.9775871144613049,0.9843917756510897,0.9785236926425855,0.9809174857067483,0.9804395937777778,0.9861665686363638,0.9768918693860685,0.9794172128311099,0.9816612819342792,0.9799435652566911,0.9690284153767422,0.9748101873849215,0.9814077572164949,0.9752120519988965,0.967781734929491,0.9693373766379312,0.977360440746692,0.9513568031933356,0.9460793532338306,0.9488921277955272,0.9523294177732379,0.9444452041054349,0.9446164496620418,0.9462310385158297,0.9528128350772295,0.9437993305492279,0.9392608208682961,0.9391230554986686,0.9439707025884838,0.9405202317569683,0.9342776889471384,0.9376465311580635,0.9440335531914892,0.9303976191467221,0.9294708142201834,0.9239257649513212,0.9427282813326282,0.9289837301587301,0.9237136042402827,0.9135069886947585,0.9472348672566371
13_employment_type,0.9824632297487222,0.9776980729247479,0.98296258995,0.9775871144613049,0.9843917756510897,0.9785236926425855,0.9809174857067483,0.9804395937777778,0.9861665686363638,0.9768918693860685,0.9794172128311099,0.9816612819342792,0.9799435652566911,0.9690284153767422,0.9748101873849215,0.9814077572164949,0.9752120519988965,0.967781734929491,0.9693373766379312,0.977360440746692,0.9513568031933356,0.9460793532338306,0.9488921277955272,0.9523294177732379,0.9440080452530906,0.9437963109213802,0.9454753660012098,0.9521434728450422,0.9436187990382181,0.9385507697920465,0.9386864386647553,0.9428343317485471,0.940979685248982,0.9335714198339887,0.9373222198448783,0.9430052340425531,0.930966763787721,0.929579220183486,0.9234507858136299,0.9420773030142781,0.9290022156084655,0.9234489399293286,0.9133573484069887,0.9470997168141592
14_auth_tradelines,0.9845297366205279,0.9801653516369278,0.984163085807143,0.9789810892716235,0.9862254960370176,0.9800493613422053,0.9829449728185937,0.9819553786666667,0.9879857865858264,0.9790947519126327,0.9812055435464093,0.9838230013890965,0.9817837476014561,0.9714219084342335,0.9770041559136032,0.9840500225894483,0.9772478929479589,0.9707178820171675,0.97153768704023,0.9793151406521738,0.9531851405761886,0.9478837375621889,0.9508543961661341,0.9556035750766086,0.9459697923956145,0.9457679103521878,0.9474325690663441,0.9539261534628797,0.9455198607947354,0.9404508427581175,0.9404856072086831,0.9452847411516111,0.9428965126839962,0.9361240825688073,0.9397674164215029,0.9452266755319148,0.9334029032258063,0.9319051146788989,0.9251800625869263,0.9441729931253304,0.9303832076719576,0.92458445229682,0.9152288797533401,0.9494816637168141
15_fraud,0.9919992236326022,0.992116705961986,0.9931725199242858,0.9742917898566008,0.9905221488949857,0.9955492133659697,1.0006681821849457,0.9873916935288889,0.9878014453361894,0.9814247126011806,0.991905137581039,0.9830677330250187,0.9758808377863126,0.9790205065921384,0.9898287925541092,0.9756074060485143,0.9747306659326793,0.9750340184448192,0.9784124127008621,0.9689817346857278,0.949864478757376,0.9480125939054725,0.9555638888178912,0.9393942165474976,0.948790723582925,0.9404887319459267,0.9401746068965516,0.9454332832087692,0.944703827372817,0.9283687413717621,0.9321978899856647,0.9374408587427364,0.933687620670216,0.9190290201616428,0.9244122964428991,0.9342888786702127,0.927056857835588,0.9194812073394496,0.9130371029207232,0.9367784369645689,0.9281799911375661,0.9087757243816255,0.9021854583761564,0.9428292831858407
16_driver_flag,0.9957675697228651,0.9949975132878202,0.9964020101100001,0.9784183185500758,0.9936815658875033,0.9990823440737644,1.005023713964979,0.9897968195155555,0.9910015361382879,0.9843688041511806,0.994632363684133,0.9852539004107543,0.980462644887273,0.9823204974419425,0.9928019896850503,0.9781680711832323,0.9818927096228457,0.9785081628310852,0.9813821576247126,0.9706834969721171,0.9584615811523777,0.9514582394278607,0.958328341853035,0.9417061164453523,0.9551945147830649,0.9444288344005692,0.9431457200544465,0.9481033175884405,0.9520472981871678,0.9329540490696826,0.9355581813229572,0.9405010188061277,0.9399588473770749,0.9234257892311053,0.9281996098154586,0.938625782074468,0.9337873720395422,0.9232887758600915,0.9167088669680111,0.9405787691433104,0.935509770899471,0.9120299717314488,0.9072841233299075,0.9470724194690265
17_clip_0.8_2.0,0.9958501885438618,0.9961227778906129,0.9973598814142858,0.9793468146919575,0.9940589361639539,0.9995728240018379,1.0033615289977773,0.9900821267896296,0.9904965566321741,0.9856786725030107,0.994651006616009,0.984756036735997,0.9806505474501457,0.9829974951001524,0.9926737260062863,0.9794052587017285,0.9815224426257282,0.9791737961330472,0.9828490692264049,0.9712146088071834,0.9637683366886498,0.9584263781094529,0.9644761233226837,0.9480111675178753,0.9615467039596456,0.9523187847741016,0.9514312448376689,0.9546800303936224,0.959478579900658,0.9419400674571324,0.9454107294695885,0.9475567226624404,0.9474614197228313,0.9352624264525995,0.9380717489435679,0.9464621350531915,0.9428862662330907,0.9340077778096331,0.9299560418636996,0.9482862562929667,0.943894205026455,0.9241040954063604,0.9189740462487154,0.9530066902654867
18_pricing_scalar_clip,0.7000000000000002,0.7000000000000002,0.7000000000000001,0.7000000000000001,0.6999999999999998,0.7,0.7000000000000001,0.7000000000000002,0.7,0.7000000000000001,0.7,0.7000000000000002,0.7,0.7000000000000001,0.7000000000000001,0.7,0.7000000000000003,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7,0.7,0.6999999999999998,0.6999999999999998,0.7000000000000001,0.7000000000000001,0.6999999999999998,0.6999999999999998,0.7000000000000001,0.7000000000000001,0.7,0.7000000000000001,0.7000000000000001,0.7,0.7,0.7,0.7,0.7000000000000001,0.7,0.7000000000000001,0.7000000000000001,0.7,0.7000000000000002
--- FINAL_MULT (mean),0.7000000000000002,0.7000000000000002,0.7000000000000001,0.7000000000000001,0.6999999999999998,0.7,0.7000000000000001,0.7000000000000002,0.7,0.7000000000000001,0.7,0.7000000000000002,0.7,0.7000000000000001,0.7000000000000001,0.7,0.7000000000000003,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7,0.7,0.6999999999999998,0.6999999999999998,0.7000000000000001,0.7000000000000001,0.6999999999999998,0.6999999999999998,0.7000000000000001,0.7000000000000001,0.7,0.7000000000000001,0.7000000000000001,0.7,0.7,0.7,0.7,0.7000000000000001,0.7,0.7000000000000001,0.7000000000000001,0.7,0.7000000000000002
