model_version,lob,term,tag,charge_off_month,pay_off_month,total_loss_month
franchise4.0,ENT,60,7,29.096171744191352,49.11849008761109,24.559245043805547
franchise4.0,ENT,60,8,22.368712524981873,51.083229691115534,25.541614845557767
franchise4.0,ENT,60,9,24.82293780283208,53.04796929461998,26.52398464730999
franchise4.0,ENT,60,10,26.144717079937124,55.012708898124416,27.506354449062208
franchise4.0,ENT,60,11,28.171114194226675,56.97744850162886,28.48872425081443
franchise4.0,ENT,60,12,19.936188740658668,58.942188105133305,29.471094052566652
franchise4.0,ENT,60,13,23.215970566940555,60.90692770863775,30.453463854318876
franchise4.0,ENT,60,14,24.422486745084154,62.8716673121422,31.4358336560711
franchise4.0,ENT,60,15,27.500820816485597,64.83640691564665,32.418203457823324
franchise4.0,ENT,72,0,22.143148111813986,38.580341305178166,19.290170652589083
franchise4.0,ENT,72,1,24.888093832636304,40.723693599910284,20.361846799955142
franchise4.0,ENT,72,2,26.737763845924203,42.86704589464241,21.433522947321205
franchise4.0,ENT,72,3,29.472189278344302,45.01039818937452,22.50519909468726
franchise4.0,ENT,72,4,24.44648476689796,47.15375048410664,23.57687524205332
franchise4.0,ENT,72,5,27.12032626554268,49.29710277883876,24.64855138941938
franchise4.0,ENT,72,6,29.04213810539025,51.44045507357088,25.72022753678544
franchise4.0,ENT,72,7,31.741278266390562,53.583807368303006,26.791903684151503
franchise4.0,ENT,72,8,24.40223184543477,55.727159663035124,27.863579831517562
franchise4.0,ENT,72,9,27.079568512180447,57.87051195776725,28.935255978883625
franchise4.0,ENT,72,10,28.521509541749587,60.01386425249936,30.00693212624968
franchise4.0,ENT,72,11,30.732124575520007,62.15721654723148,31.07860827361574
franchise4.0,ENT,72,12,21.748569535264,64.3005688419636,32.1502844209818
franchise4.0,ENT,72,13,25.32651334575333,66.44392113669572,33.22196056834786
franchise4.0,ENT,72,14,26.642712812819074,68.58727343142785,34.29363671571392
franchise4.0,ENT,72,15,30.000895436166104,70.73062572615997,35.365312863079986
franchise4.0,FLD,36,0,15.52353654848429,27.046892125713583,13.523446062856792
franchise4.0,FLD,36,1,17.447890981088953,28.54949724380878,14.27474862190439
franchise4.0,FLD,36,2,18.744609040730644,30.052102361903984,15.026051180951992
franchise4.0,FLD,36,3,20.661588185924153,31.554707479999173,15.777353739999587
franchise4.0,FLD,36,4,17.13829929893452,33.05731259809438,16.52865629904719
franchise4.0,FLD,36,5,19.01280585145674,34.559917716189574,17.279958858094787
